,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
111,Kenya,Sub-Saharan Africa,112,4.552999973,1.1044663094854015,1.5600616835823564,-0.002978102485273946,1
112,Mozambique,Sub-Saharan Africa,113,4.550000191,1.8487236495279145,1.7137217814493317,1.7765452104776065,3
113,Myanmar,Southeastern Asia,114,4.545000076,0.14208820110111192,4.454319854750413,-0.7108190014264125,1
114,Senegal,Sub-Saharan Africa,115,4.534999847,1.0964935392488888,0.09859235184124526,0.11144601676345475,3
115,Zambia,Sub-Saharan Africa,116,4.513999939,1.3384986055522248,0.632207956490139,0.3540233048013953,3
116,Iraq,Middle East and Northern Africa,117,4.497000217,0.7619555019834754,-0.1674683408725367,-1.1999969056890791,4
117,Gabon,Sub-Saharan Africa,118,4.465000153,0.8564223856475522,-1.0627977871633707,-1.1822835141432633,4
118,Ethiopia,Sub-Saharan Africa,119,4.460000038,1.4949355269659543,1.2928223314360978,0.8067631765015437,3
119,Sri Lanka,Southern Asia,120,4.440000057,-0.6620964360874343,1.9479707833459063,-2.5096501314521444,1
120,Armenia,Central and Eastern Europe,121,4.375999928,1.2837783206086069,-1.4357325537983359,-1.0896748953337025,4
121,India,Southern Asia,122,4.315000057,1.118292224522419,0.6574642636086127,-0.32558288109715805,3
122,Mauritania,Sub-Saharan Africa,123,4.291999817,1.6629459866286538,-0.3410100773330645,-0.6254824153287366,3
123,Congo (Brazzaville),Sub-Saharan Africa,124,4.290999889,1.5429779719248826,-0.026365721977401998,0.05241707605746976,3
124,Georgia,Central and Eastern Europe,125,4.285999775,0.8954623735460604,-0.07423536883177213,-0.6201274498482545,4
125,Congo (Kinshasa),Sub-Saharan Africa,126,4.28000021,2.394890491299822,0.06870526889234133,0.8950565883871059,3
126,Mali,Sub-Saharan Africa,127,4.190000057,1.665007122711266,0.13334391567411513,-0.12399431095351399,3
127,Ivory Coast,Sub-Saharan Africa,128,4.179999828,1.8820266006025173,0.8893183876465983,0.5806025671206,3
128,Cambodia,Southeastern Asia,129,4.168000221,0.5286779878666075,1.9064650503801073,-0.8999519056614335,1
129,Sudan,Sub-Saharan Africa,130,4.138999939,2.118850703355204,-0.8132923105282708,-0.7540249982572665,3
130,Ghana,Sub-Saharan Africa,131,4.119999886,1.72299623137818,0.5211657780133407,-0.24849663401791292,3
131,Ukraine,Central and Eastern Europe,132,4.096000195,0.8742930395976802,-0.5503684464080626,-2.5672803782234355,4
132,Uganda,Sub-Saharan Africa,133,4.080999851,1.5929458178254254,1.1476335020527728,-0.15489153199144684,3
133,Burkina Faso,Sub-Saharan Africa,134,4.032000065,1.9359788107601557,0.7549440602472656,0.10863996614573629,3
134,Niger,Sub-Saharan Africa,135,4.027999878,1.982472237095337,0.8402317408453813,0.5241334756342079,3
135,Malawi,Sub-Saharan Africa,136,3.970000029,2.446892433839583,1.2430187314385348,1.0585723872473254,3
136,Chad,Sub-Saharan Africa,137,3.936000109,2.9907298271553726,-0.05794260720799001,0.4757510839769902,3
137,Zimbabwe,Sub-Saharan Africa,138,3.875,2.0040524547833654,0.4107937170526674,-0.15093074173175583,3
138,Lesotho,Sub-Saharan Africa,139,3.808000088,1.8859300124788858,0.6015888208621694,-0.3029082426430895,3
139,Angola,Sub-Saharan Africa,140,3.795000076,2.750755805785004,-1.1057204670553353,-0.8558687021906002,3
140,Afghanistan,Southern Asia,141,3.79399991,3.368142804168027,0.4339046230997422,0.5430137904388327,3
141,Botswana,Sub-Saharan Africa,142,3.766000032,0.3119339602397297,0.2600552973058399,-2.5494864686166916,4
142,Benin,Sub-Saharan Africa,143,3.657000065,2.79277609175332,0.8488957274635981,0.6013563848516748,3
143,Madagascar,Sub-Saharan Africa,144,3.644000053,2.457680669330102,0.04038337061754935,-0.5135376344458796,3
144,Haiti,Latin America and Caribbean,145,3.602999926,3.0434317851329524,1.4163043196810805,-0.4366315341893263,3
145,Yemen,Middle East and Northern Africa,146,3.592999935,2.210766821453707,-0.3937609486431401,-0.9526249647168521,3
146,South Sudan,Sub-Saharan Africa,147,3.59100008,3.1331666110820366,0.7824529565980932,0.17923903908197047,3
147,Liberia,Sub-Saharan Africa,148,3.532999992,2.700416565873654,0.7967578743580547,0.048523112408196664,3
148,Guinea,Sub-Saharan Africa,149,3.506999969,2.4842212885702173,1.2113909650949424,-0.07975945076947549,3
149,Togo,Sub-Saharan Africa,150,3.494999886,2.893372969235652,0.9073355873693917,0.49848482976764896,3
150,Rwanda,Sub-Saharan Africa,151,3.470999956,0.147568227673097,3.3456853442598757,-1.3250520931311116,1
151,Syria,Middle East and Northern Africa,152,3.461999893,2.224071107488207,1.787663602419713,-1.726555982154957,1
152,Tanzania,Sub-Saharan Africa,153,3.348999977,1.430729042563522,1.5024705138686163,-2.0499392908740988,1
153,Burundi,Sub-Saharan Africa,154,2.904999971,3.918216499976756,0.3315748169085211,-0.2594636224807123,3
154,Central African Republic,Sub-Saharan Africa,155,2.693000078,4.749199964889248,1.551001183024395,1.0412517529696013,3
